index,pointid,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Exists
7321,30,254,266,237,1649,356,32,74,875,116,671,116,73,68,1167,303,197,106,265,237,0
7322,31,262,273,245,1293,352,12,111,872,49,855,52,82,69,1190,318,200,118,272,250,0
7323,32,256,268,238,1269,345,11,111,856,46,841,51,84,70,1216,313,193,120,267,244,0
7324,33,263,274,245,1228,339,11,111,834,47,821,51,82,68,1186,320,200,120,273,250,0
7325,34,263,274,244,1198,331,11,112,812,47,802,51,82,67,1228,321,199,122,272,250,0
7326,35,259,272,241,1186,320,12,108,786,51,780,56,83,68,1236,318,197,121,270,246,1
7327,36,267,278,249,1181,307,15,102,754,62,754,67,80,68,1194,323,206,117,278,254,0
7328,37,266,278,248,1176,295,17,97,731,68,731,76,80,68,1239,322,205,117,278,252,0
7312,38,265,275,248,1414,373,14,107,934,56,916,66,81,69,1164,319,202,117,274,248,0
7313,39,267,277,250,1395,371,14,108,925,55,909,55,81,69,1136,321,204,117,276,250,0
7314,40,255,266,237,1343,359,12,110,899,49,883,52,86,70,1226,312,190,122,266,243,0
7315,41,248,259,229,1323,349,11,108,878,47,864,53,88,71,1250,305,182,123,259,235,0
7316,42,241,252,223,1313,338,12,105,853,50,853,65,89,71,1255,298,174,124,252,229,1
7317,43,246,258,228,1278,332,12,106,831,51,824,59,88,70,1242,304,180,124,257,233,0
7318,44,257,268,239,1235,324,13,106,803,55,801,60,85,69,1209,314,192,122,267,244,0
7319,45,267,279,249,1219,312,16,101,772,65,772,70,82,68,1202,323,204,119,279,254,0
7303,46,262,272,245,1444,381,14,108,957,54,663,62,84,69,1183,317,196,121,272,245,0
7304,47,247,258,228,1416,368,12,107,933,51,933,59,89,71,1271,303,179,124,258,235,0
7305,48,236,248,218,1394,354,12,105,903,50,903,55,92,73,1258,294,168,126,248,225,0
7306,49,222,235,203,1366,331,13,101,855,55,855,60,94,73,1326,281,153,128,235,210,0
7307,50,210,224,190,1349,313,15,97,817,62,817,75,96,74,1404,270,141,129,224,196,0
7308,51,235,248,216,1334,331,13,102,843,54,843,64,93,73,1313,293,166,127,248,223,0
7309,52,250,261,231,1291,327,14,103,821,58,820,65,89,71,1255,307,183,124,261,237,0
7310,53,257,269,239,1261,316,16,99,793,65,793,71,86,69,1210,315,192,123,269,245,0
7311,54,265,277,247,1248,301,20,93,760,78,760,84,84,70,1207,321,202,119,277,253,0
7295,55,257,267,240,1471,386,13,109,976,51,681,58,88,70,1207,314,189,125,267,240,0
7296,56,249,259,231,1443,374,12,107,950,52,670,58,91,72,1226,306,180,126,259,231,0
7297,57,233,245,215,1410,350,13,104,900,53,900,63,94,72,1291,292,163,129,245,222,0
7298,58,206,220,186,1367,312,15,96,821,63,821,76,98,74,1398,268,136,132,220,193,1
7299,59,234,246,215,1367,333,14,102,855,57,855,68,95,73,1316,292,163,129,246,221,0
7300,60,251,262,232,1333,332,15,101,842,61,842,66,91,71,1245,309,182,127,262,238,0
7301,61,253,265,235,1307,318,17,98,810,68,810,74,90,72,1229,311,186,125,265,241,0
7302,62,264,276,246,1289,304,21,92,776,82,776,87,86,69,1236,322,199,123,276,252,0
7285,63,253,265,233,1299,301,15,86,733,60,536,60,65,65,1320,302,202,100,263,234,0
7286,64,263,273,245,1531,400,14,108,1013,51,707,58,89,70,1188,319,193,126,272,245,0
7287,65,261,271,244,1504,393,14,108,995,52,695,58,90,70,1195,318,191,127,271,244,0
7288,66,236,247,217,1449,359,13,104,926,54,926,60,96,72,1283,296,164,132,247,225,0
7289,67,222,235,203,1402,331,14,100,865,59,864,69,98,73,1330,283,150,133,234,210,0
7290,68,239,250,220,1404,342,14,101,881,58,880,68,96,73,1275,298,167,131,250,227,0
7291,69,255,266,237,1377,339,16,101,866,65,866,67,92,71,1229,313,185,128,266,243,0
7292,70,263,274,245,1351,324,19,96,830,76,830,78,89,70,1216,321,195,126,274,251,0
7293,71,262,273,244,1326,306,22,91,791,84,791,89,88,70,1231,319,195,124,273,250,0
7294,72,255,267,236,1306,287,24,86,754,92,754,100,88,70,1261,312,188,124,267,242,0
7272,73,255,267,235,1270,298,13,88,726,54,525,54,64,63,1348,305,204,101,266,236,0
7273,74,254,266,234,1245,293,12,89,718,50,514,50,63,63,1367,304,204,100,266,234,0
7274,75,259,271,239,1196,281,11,90,696,45,495,45,61,61,1393,310,210,100,271,239,0
7275,76,267,276,249,1595,414,15,108,1051,52,736,59,90,69,1176,325,195,130,275,249,0
7276,77,260,270,242,1562,404,14,108,1029,50,723,56,93,70,1195,320,188,132,269,243,0
7277,78,242,253,223,1498,373,13,105,963,53,963,58,97,71,1284,304,169,135,253,224,0
7278,79,237,248,218,1461,355,14,103,921,58,921,62,98,72,1299,299,163,136,248,218,0
7279,80,246,257,227,1448,354,15,102,914,61,911,66,97,72,1256,306,172,134,257,228,0
7280,81,240,252,221,1409,333,16,98,870,66,870,74,97,72,1305,301,167,134,252,229,0
7281,82,231,244,211,1372,309,18,94,822,72,822,78,97,72,1382,291,158,133,244,218,0
7282,83,257,269,239,1362,307,22,90,806,86,806,90,91,72,1255,315,189,126,269,245,0
7283,84,260,271,241,1341,288,27,84,763,100,763,106,88,70,1256,317,192,125,271,248,0
7284,85,262,275,243,1329,270,31,77,724,114,724,124,86,71,1282,318,197,121,275,249,0
7260,86,259,272,239,1217,290,11,90,709,46,503,46,63,63,1391,309,209,100,271,239,0
7261,87,268,278,249,1656,428,16,107,1090,52,767,57,92,69,1210,327,195,132,276,250,0
7262,88,266,276,249,1627,420,15,108,1073,50,754,55,94,70,1152,326,192,134,274,249,1
7263,89,258,268,240,1584,403,14,107,1034,50,734,55,97,70,1202,320,182,138,266,240,0
7264,90,248,259,229,1525,376,14,104,974,55,701,60,99,71,1263,311,172,139,258,230,0
7265,91,247,257,228,1485,359,15,102,936,60,931,60,98,72,1274,308,172,136,257,228,0
7266,92,233,245,213,1423,325,16,97,867,68,855,75,100,72,1342,295,158,137,244,221,0
7267,93,242,254,222,1409,319,18,94,850,74,850,76,97,72,1315,302,168,134,254,230,0
7268,94,259,270,241,1400,310,23,89,822,90,822,92,92,71,1234,317,189,128,270,247,1
7269,95,263,274,244,1377,290,28,82,776,104,776,109,89,71,1257,319,195,124,274,250,0
7270,96,259,272,241,1355,269,32,76,732,117,732,126,88,71,1295,316,193,123,272,247,0
7271,97,259,272,240,1341,251,36,70,692,130,692,142,86,71,1311,315,194,121,272,245,0
7248,98,260,272,241,1243,301,12,90,725,47,513,48,64,63,1349,310,209,101,271,241,0
7249,99,268,277,249,1716,442,16,108,1131,49,798,54,95,69,1218,329,192,137,276,250,0
7250,100,267,277,249,1690,435,15,109,1116,48,785,53,97,69,1184,329,190,139,274,250,0
7251,101,261,271,243,1647,419,14,107,1080,48,765,53,99,69,1215,326,183,143,269,244,1
7252,102,254,265,236,1583,392,14,105,1017,52,731,57,100,69,1217,319,176,143,263,237,0
7253,103,247,258,228,1522,363,15,102,956,58,696,64,101,71,1283,311,169,142,257,228,0
7254,104,262,272,244,1516,360,18,99,941,68,681,75,97,70,1202,323,186,137,271,244,0
7255,105,261,271,242,1473,336,21,94,888,80,649,87,95,71,1227,320,187,133,271,242,0
7256,106,261,272,242,1435,313,24,88,837,93,837,93,93,71,1251,319,189,130,272,242,0
7257,107,239,252,219,1376,283,24,85,781,94,781,106,96,73,1366,298,167,131,252,226,0
7258,108,233,246,212,1351,267,25,80,745,100,716,108,95,73,1426,292,162,130,246,218,0
7259,109,260,273,241,1361,250,36,69,700,132,700,142,86,71,1337,315,194,121,273,247,0
7236,110,268,278,249,1774,456,15,109,1171,47,828,52,97,69,1201,331,191,140,276,251,0
7237,111,268,278,250,1753,452,15,109,1161,46,399,51,99,68,1162,333,189,144,275,251,0
7238,112,267,277,249,1718,439,14,108,1133,45,392,51,101,69,1183,333,188,145,275,250,0
7239,113,255,266,236,1630,401,14,105,1046,49,755,55,103,70,1241,322,176,146,264,237,0
7240,114,254,265,236,1585,380,15,102,1000,56,724,63,102,70,1230,320,176,144,264,236,0
7241,115,249,260,230,1519,350,17,98,935,65,686,65,101,71,1285,313,171,142,259,230,0
7242,116,260,271,242,1507,339,21,94,905,79,661,87,97,71,1250,321,185,136,270,242,0
7243,117,260,271,242,1462,314,24,88,849,93,625,93,95,71,1239,319,187,132,271,242,0
7244,118,258,270,239,1424,289,27,82,796,106,796,107,92,71,1273,316,187,129,270,246,0
7245,119,258,271,239,1397,268,31,76,749,119,749,124,90,71,1324,315,189,126,271,246,0
7246,120,249,262,229,1364,248,33,71,708,125,708,134,90,72,1362,306,182,124,262,235,0
7247,121,255,269,235,1353,234,37,65,669,140,669,152,86,71,1390,310,190,120,269,240,0
7223,122,268,278,249,1840,466,16,107,1198,52,860,56,96,68,1207,331,191,140,276,251,0
7224,123,268,278,249,1824,468,14,108,1204,46,423,50,99,68,1202,333,189,144,275,251,0
7225,124,268,278,250,1807,467,13,110,1203,42,415,47,102,68,1200,335,187,148,275,251,0
7226,125,268,278,250,1780,455,14,109,1179,43,409,48,104,68,1159,336,185,151,274,251,0
7227,126,251,262,232,1636,394,14,104,1042,49,759,55,105,70,1258,319,170,149,261,233,0
7228,127,263,274,244,1655,399,16,103,1049,55,754,62,103,69,1235,330,181,149,270,245,0
7229,128,260,271,242,1586,367,18,98,977,66,710,74,101,70,1215,325,181,144,269,242,0
7230,129,255,266,236,1521,335,20,93,909,77,667,77,100,71,1252,318,178,140,266,236,0
7231,130,257,268,238,1480,312,24,87,856,92,631,92,97,71,1278,317,182,135,268,238,0
7232,131,257,269,238,1444,289,27,81,803,107,803,107,93,72,1308,315,186,129,269,238,1
7233,132,248,261,229,1401,267,29,76,752,115,752,119,93,72,1358,306,178,128,261,235,0
7234,133,258,271,238,1390,257,35,70,709,133,709,141,88,71,1354,314,191,123,271,244,0
7235,134,256,271,237,1371,244,38,64,669,144,669,156,85,70,1377,312,192,120,271,243,0
7209,135,265,276,246,2006,443,30,89,1176,102,1149,102,73,66,1256,315,205,110,276,246,0
7210,136,267,277,249,1878,470,16,106,1212,53,449,57,98,69,1216,331,189,142,275,251,0
7211,137,268,278,249,1859,473,14,108,1219,46,438,51,101,68,1218,334,187,147,275,251,0
7212,138,268,278,249,1847,474,13,110,1225,41,431,46,104,68,1206,336,185,151,274,251,0
7213,139,267,278,249,1823,462,13,109,1205,40,426,46,107,68,1173,338,182,156,273,251,0
7214,140,265,275,247,1760,435,14,106,1143,45,415,51,107,69,1178,335,181,154,271,247,0
7215,141,262,272,243,1676,398,16,102,1055,55,763,62,105,70,1222,330,180,150,269,243,0
7216,142,259,269,240,1606,366,18,98,984,66,717,74,103,71,1253,324,179,145,268,240,0
7217,143,259,270,239,1554,339,21,92,923,80,676,89,100,70,1298,322,181,141,269,239,0
7218,144,217,232,195,1413,282,21,85,797,89,776,89,105,73,1519,283,140,143,232,195,0
7219,145,252,265,232,1454,291,27,81,804,108,804,108,96,72,1358,312,179,133,265,232,0
7220,146,249,262,229,1421,273,30,75,755,121,755,123,93,72,1377,307,178,129,262,236,0
7221,147,255,270,235,1403,263,34,69,710,135,710,142,88,70,1419,312,188,124,270,242,0
7222,148,255,269,235,1382,251,38,63,668,147,668,158,85,70,1418,310,190,120,269,241,0
7193,149,266,277,247,2050,450,30,88,1192,105,1151,105,73,67,1237,314,206,108,276,247,1
7194,150,262,274,243,2061,449,30,88,1201,104,1164,104,74,67,1299,312,202,110,273,243,0
7195,151,267,277,248,1898,469,16,104,1215,55,463,59,99,68,1251,331,187,144,275,249,0
7196,152,267,278,248,1873,467,15,106,1210,49,452,54,102,68,1259,334,185,149,274,249,0
7197,153,265,276,246,1841,459,14,107,1196,45,443,50,105,68,1261,334,181,153,273,247,0
7198,154,265,275,246,1812,447,14,106,1173,45,845,51,107,69,1217,334,180,154,272,247,0
7199,155,262,273,244,1750,421,15,104,1113,50,808,57,107,69,1223,332,178,154,270,244,0
7200,156,253,264,234,1637,374,16,99,1015,57,748,65,106,69,1307,322,170,152,263,234,0
7201,157,230,244,209,1487,313,18,92,881,70,857,79,107,71,1452,299,149,150,244,210,0
7202,158,254,266,235,1553,334,21,91,914,80,675,80,102,71,1311,319,176,143,265,235,0
7203,159,237,251,217,1461,293,22,85,830,91,830,102,102,71,1426,302,160,142,251,217,0
7204,160,220,236,198,1411,270,24,81,774,101,774,113,104,72,1566,286,143,143,236,198,0
7205,161,254,268,234,1444,280,31,73,757,127,757,128,92,71,1380,312,184,128,268,241,0
7206,162,256,270,235,1421,268,35,67,709,141,709,147,88,70,1431,312,188,124,270,242,0
7207,163,255,270,234,1395,256,38,62,665,152,665,162,85,71,1439,309,190,119,270,241,1
7208,164,251,266,230,1377,243,41,58,631,162,631,176,84,70,1464,306,187,119,266,235,0
7177,165,265,277,245,2091,462,29,88,1221,103,1166,103,74,67,1291,314,204,110,276,245,0
7178,166,260,272,241,2082,461,28,89,1224,99,1175,99,77,68,1271,311,198,113,271,241,0
7179,167,265,275,246,1903,463,17,103,1208,58,854,62,101,69,1233,330,184,146,273,248,0
7180,168,265,275,245,1870,456,16,104,1193,53,463,57,103,68,1260,332,182,150,273,247,0
7181,169,260,271,241,1813,438,15,104,1158,48,851,54,106,69,1266,329,176,153,269,242,0
7182,170,261,271,242,1777,424,16,103,1128,50,827,56,107,69,1257,331,176,155,269,243,0
7183,171,257,267,237,1706,396,16,101,1068,54,788,61,107,69,1280,326,173,153,266,238,0
7184,172,227,240,205,1501,316,16,93,894,63,869,73,109,71,1501,297,144,153,240,205,0
7185,173,213,229,190,1450,294,19,89,834,75,816,75,111,72,1630,284,131,153,228,190,0
7186,174,213,229,191,1439,286,20,87,814,82,795,94,109,72,1597,283,133,150,228,191,0
7187,175,238,251,217,1472,293,23,84,829,94,829,106,103,72,1430,302,160,142,251,217,0
7188,176,231,246,209,1437,273,25,79,783,106,755,106,102,72,1537,294,154,140,246,209,0
7189,177,246,259,225,1448,275,31,73,756,129,732,129,95,72,1435,305,174,131,259,225,0
7190,178,253,267,232,1435,268,36,66,711,146,711,151,89,71,1437,309,185,124,267,239,0
7191,179,255,269,234,1419,259,40,61,668,160,668,170,85,70,1442,310,190,120,269,240,0
7192,180,253,269,232,1396,248,42,56,628,169,628,184,82,69,1485,309,191,118,269,238,0
7158,181,261,272,241,2115,480,27,90,1256,97,1207,97,83,67,1311,315,192,123,272,241,0
7159,182,262,273,242,2062,481,24,95,1251,87,870,87,90,67,1311,320,187,133,272,242,0
7160,183,263,273,243,2023,477,22,96,1242,80,867,80,94,68,1290,322,185,137,272,243,0
7161,184,263,274,244,1985,471,21,98,1229,74,928,75,96,68,1297,325,184,141,273,245,0
7162,185,264,274,244,1943,464,19,100,1213,67,910,69,99,68,1270,327,183,144,273,246,0
7163,186,263,274,243,1902,455,18,101,1195,61,891,65,101,68,1309,329,181,148,273,245,0
7164,187,257,268,237,1824,432,17,101,1152,53,861,58,105,68,1313,326,173,153,267,239,0
7165,188,254,265,233,1756,408,16,101,1105,50,827,57,107,69,1354,323,168,155,264,235,0
7166,189,254,265,233,1713,392,16,100,1070,52,801,59,108,69,1349,324,168,156,263,234,0
7167,190,251,262,230,1656,368,16,97,1019,56,766,65,108,70,1360,320,166,154,261,231,0
7168,191,248,260,228,1608,350,18,94,972,64,733,73,107,70,1387,317,165,152,260,228,0
7169,192,220,235,197,1467,295,19,89,845,74,845,85,111,72,1611,291,137,154,235,197,0
7170,193,229,244,207,1477,293,21,86,842,84,813,84,107,71,1531,297,148,149,244,207,0
7171,194,222,238,199,1446,277,23,82,801,95,775,95,107,72,1596,289,142,147,237,199,0
7172,195,235,250,213,1460,277,27,78,787,113,759,113,101,71,1521,299,158,141,250,213,0
7173,196,224,241,201,1430,257,29,74,749,121,749,123,102,72,1602,288,147,141,241,209,1
7174,197,251,266,230,1459,267,37,64,714,154,714,159,90,71,1480,309,183,126,266,237,0
7175,198,253,269,232,1445,257,41,59,673,169,673,178,86,71,1497,309,188,121,269,238,1
7176,199,253,269,232,1435,246,45,53,638,184,638,198,83,69,1515,309,190,119,269,238,0
7138,200,265,276,246,2003,472,23,93,1201,81,811,81,80,68,1230,315,199,116,274,246,0
7139,201,261,272,242,2075,489,24,95,1261,87,871,87,94,68,1301,320,183,137,272,242,0
7140,202,259,271,239,2023,478,22,96,1241,79,861,79,97,68,1336,321,179,142,270,239,0
7141,203,256,267,236,1950,460,19,98,1209,68,843,69,101,69,1310,320,174,146,266,238,0
7142,204,251,262,231,1861,434,17,99,1160,58,812,62,104,69,1341,318,168,150,261,232,0
7143,205,255,266,234,1844,430,18,100,1151,57,873,62,105,69,1356,322,170,152,265,235,0
7144,206,252,263,232,1773,407,17,100,1107,53,841,59,107,69,1348,321,167,154,262,233,0
7145,207,255,266,234,1758,401,18,99,1093,55,825,62,107,69,1350,324,170,154,265,235,0
7146,208,251,263,231,1684,374,17,98,1038,55,787,63,108,69,1360,321,166,155,261,231,0
7147,209,243,256,221,1586,341,16,95,963,57,739,66,109,70,1465,313,158,155,255,222,0
7148,210,241,253,219,1555,327,17,92,925,65,712,76,109,71,1471,310,157,153,253,219,0
7149,211,198,216,174,1445,286,20,87,808,79,804,91,116,72,1723,273,114,159,215,174,0
7150,212,223,238,200,1470,286,21,85,827,86,800,99,109,71,1611,293,141,152,238,200,0
7151,213,204,222,180,1439,274,24,82,782,97,771,97,112,72,1756,276,122,154,222,180,0
7152,214,232,247,209,1469,273,28,76,783,117,755,117,103,72,1569,296,154,142,247,209,0
7153,215,241,256,219,1475,268,33,70,753,139,753,140,97,71,1539,303,167,136,256,226,0
7154,216,252,267,231,1485,265,39,63,716,164,716,169,90,71,1474,310,184,126,267,238,0
7155,217,214,232,190,1431,242,35,66,704,143,684,150,102,71,1696,281,139,142,231,198,0
7156,218,249,265,228,1462,238,47,51,646,195,646,207,85,69,1527,307,184,123,265,234,0
7157,219,252,269,231,1468,230,52,46,620,212,620,228,81,68,1534,309,190,119,269,246,0
7114,220,263,273,245,1946,472,19,95,1184,67,792,67,83,70,1185,314,196,118,272,245,0
7115,221,256,267,238,1958,471,19,95,1193,67,799,67,86,70,1172,309,187,122,265,238,0
7116,222,261,271,243,2025,482,21,94,1223,76,822,76,85,70,1199,313,192,121,270,243,0
7117,223,261,272,242,2117,504,24,93,1278,89,867,89,92,69,1275,317,184,133,271,242,0
7118,224,259,271,240,2113,505,24,94,1282,89,873,89,96,69,1316,318,179,139,270,240,1
7119,225,258,269,238,2065,492,22,95,1261,82,865,82,98,68,1302,319,176,143,268,238,0
7120,226,252,264,232,1967,464,20,97,1213,71,837,71,102,68,1354,317,169,148,263,232,0
7121,227,225,238,202,1649,372,15,99,1018,45,994,50,112,70,1532,298,139,159,238,203,0
7122,228,253,264,232,1875,436,18,98,1162,62,812,65,105,69,1384,319,168,151,263,233,0
7123,229,251,263,230,1813,416,18,98,1124,58,862,63,107,69,1409,320,165,155,262,231,0
7124,230,245,257,224,1701,378,16,98,1053,50,743,57,110,70,1436,315,159,156,257,224,0
7125,231,249,261,228,1696,374,17,97,1043,55,801,63,109,70,1412,318,163,155,261,229,0
7126,232,244,256,222,1608,345,15,95,980,52,936,62,110,70,1459,314,158,156,256,223,0
7127,233,226,241,203,1516,310,16,92,896,60,864,71,114,71,1602,299,140,159,241,203,0
7128,234,190,209,164,1450,290,19,88,818,74,818,86,119,72,1821,268,103,165,209,165,0
7129,235,187,206,162,1446,284,21,86,803,82,803,94,118,72,1832,264,102,162,206,162,0
7130,236,207,225,182,1459,281,22,84,804,89,792,89,114,72,1753,280,123,157,224,182,0
7131,237,205,223,180,1451,274,24,81,783,99,773,99,113,72,1762,278,123,155,223,180,0
7132,238,206,224,181,1450,267,27,78,766,111,754,111,111,73,1735,277,125,152,223,181,0
7133,239,247,262,225,1515,271,36,67,757,153,757,154,95,71,1513,307,174,133,262,232,0
7134,240,249,265,227,1508,260,41,61,719,172,719,177,91,70,1539,308,179,129,265,234,0
7135,241,253,268,231,1508,249,46,55,684,192,666,201,87,70,1526,309,186,123,268,237,0
7136,242,249,266,227,1492,233,49,49,650,206,626,218,86,69,1591,307,183,124,266,232,0
7137,243,252,269,230,1497,224,54,44,624,224,603,239,82,67,1575,309,188,121,268,236,1
7090,244,262,272,245,1932,476,17,97,1185,60,788,60,86,71,1133,314,193,121,270,245,0
7091,245,256,267,238,1942,475,17,97,1193,60,795,60,90,72,1175,310,185,125,264,238,0
7092,246,258,269,240,1998,485,19,96,1219,68,814,68,89,70,1208,313,186,127,268,240,0
7093,247,260,271,240,2089,505,22,95,1271,82,859,82,96,69,1296,318,180,138,270,240,0
7094,248,256,267,236,2075,501,22,96,1268,81,860,81,100,69,1315,316,172,144,267,236,0
7095,249,257,268,237,2041,490,21,96,1251,78,855,78,101,68,1322,319,172,147,267,237,0
7096,250,234,247,212,1752,404,15,99,1086,49,1055,51,110,70,1468,304,149,155,247,213,1
7097,251,248,260,228,1872,435,18,97,1156,62,803,64,107,69,1392,316,163,153,260,229,0
7098,252,230,243,207,1654,369,15,99,1019,45,989,51,113,70,1555,303,142,161,243,207,0
7099,253,230,244,207,1631,358,15,98,1001,47,783,53,114,69,1576,305,142,163,244,208,0
7100,254,190,208,165,1466,310,14,95,869,50,869,60,123,71,1784,272,100,172,208,165,0
7101,255,207,223,182,1497,314,15,95,880,53,877,63,121,71,1731,287,117,170,223,182,0
7102,256,244,257,222,1611,342,16,94,973,57,927,67,110,70,1489,314,158,156,257,223,0
7103,257,228,243,205,1522,309,16,92,896,61,860,73,114,70,1626,302,141,161,243,205,0
7104,258,219,236,194,1495,298,19,89,857,72,835,84,115,71,1704,293,132,161,235,195,0
7105,259,170,189,144,1450,285,22,85,804,85,804,97,120,72,1840,249,84,165,189,144,0
7106,260,203,221,177,1465,281,23,83,798,92,794,92,116,72,1805,278,117,161,221,177,0
7107,261,227,243,204,1497,277,27,78,805,110,779,110,108,72,1664,295,146,149,243,204,0
7108,262,215,232,190,1473,267,28,76,772,118,755,118,109,72,1739,284,133,151,232,190,0
7109,263,243,258,220,1528,266,37,66,757,158,734,160,97,71,1565,303,168,135,258,227,0
7110,264,243,260,221,1524,253,42,60,722,177,722,182,94,71,1595,304,172,132,260,227,0
7111,265,250,266,228,1535,244,48,53,687,202,669,212,88,69,1561,309,182,127,266,234,0
7112,266,252,268,230,1531,231,52,48,655,219,637,232,86,68,1557,310,185,125,268,235,0
7113,267,251,269,229,1529,219,56,43,627,235,608,252,83,66,1603,310,186,124,269,235,0
7064,268,258,268,241,1901,476,14,99,1179,51,779,51,90,72,1133,312,187,125,266,241,0
7065,269,251,262,233,1896,471,14,99,1178,51,782,51,93,70,1218,308,177,131,260,233,0
7066,270,252,263,233,1928,476,15,99,1194,54,795,54,95,71,1234,309,176,133,261,233,0
7067,271,252,263,234,1957,480,16,98,1209,59,808,59,96,71,1234,310,175,135,261,234,0
7068,272,254,266,235,2013,490,19,97,1237,69,835,69,100,69,1311,315,172,143,264,235,0
7069,273,257,268,237,2031,492,20,96,1245,74,846,74,102,70,1280,318,173,145,266,237,0
7070,274,256,268,236,2004,482,20,96,1230,73,842,73,103,69,1355,319,171,148,266,236,0
7071,275,233,246,210,1728,398,14,99,1071,47,1041,50,112,70,1513,304,146,158,246,211,0
7072,276,245,258,223,1829,423,17,98,1129,58,785,60,109,69,1477,314,158,156,257,224,0
7073,277,214,230,190,1558,342,13,99,946,42,938,49,120,71,1650,293,125,168,229,191,0
7074,278,220,235,196,1569,341,14,98,951,45,934,52,119,70,1664,298,130,168,235,196,0
7075,279,173,192,147,1445,304,15,94,852,55,852,65,125,72,1839,256,83,173,192,147,0
7076,280,178,197,152,1448,301,16,93,848,58,848,68,125,72,1842,261,89,172,197,152,0
7077,281,225,241,202,1540,317,16,93,910,58,881,69,117,71,1637,300,137,163,240,202,0
7078,282,237,251,213,1561,317,18,90,915,67,873,67,112,70,1594,308,150,158,251,213,0
7079,283,225,241,200,1517,300,19,88,868,75,840,88,115,71,1710,298,138,160,241,200,0
7080,284,216,234,190,1498,290,22,85,833,86,818,86,116,71,1820,290,128,162,233,190,0
7081,285,216,234,190,1497,284,24,82,816,98,800,98,114,72,1797,289,131,158,234,190,0
7082,286,189,208,163,1466,276,26,80,784,103,784,103,118,73,1861,265,104,161,208,163,0
7083,287,209,228,183,1485,269,29,75,772,120,762,121,111,71,1850,281,126,155,227,191,0
7084,288,243,259,220,1560,265,40,63,758,169,740,172,97,70,1610,306,169,137,259,227,0
7085,289,211,230,186,1490,255,36,67,733,146,722,152,106,71,1804,281,132,149,229,194,0
7086,290,224,242,199,1508,244,42,59,704,175,687,185,100,70,1741,290,149,141,242,206,0
7087,291,251,267,228,1563,231,55,46,658,230,645,245,86,68,1580,310,184,126,267,234,0
