,pointid_left,grid_code,POINT_X,POINT_Y,geometry,index_right,pointid_right,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
12,13,1,49.2830532444,-12.3749424445,POINT (49.283053244434 -12.374942444451),7325,34,263,274,244,1198,331,11,112,812,47,802,51,82,67,1228,321,199,122,272,250
13,14,1,49.3663832444,-12.3749424445,POINT (49.366383244434 -12.374942444451),7326,35,259,272,241,1186,320,12,108,786,51,780,56,83,68,1236,318,197,121,270,246
14,15,1,49.4497132444,-12.3749424445,POINT (49.449713244434 -12.374942444451),7327,36,267,278,249,1181,307,15,102,754,62,754,67,80,68,1194,323,206,117,278,254
15,16,1,49.5330432444,-12.3749424445,POINT (49.533043244434 -12.374942444451),7328,37,266,278,248,1176,295,17,97,731,68,731,76,80,68,1239,322,205,117,278,252
16,17,1,48.7830732444,-12.4582724445,POINT (48.783073244434 -12.458272444451),7312,38,265,275,248,1414,373,14,107,934,56,916,66,81,69,1164,319,202,117,274,248
17,18,1,48.8664032444,-12.4582724445,POINT (48.866403244434 -12.458272444451),7313,39,267,277,250,1395,371,14,108,925,55,909,55,81,69,1136,321,204,117,276,250
18,19,1,49.0330632444,-12.4582724445,POINT (49.033063244434 -12.458272444451),7314,40,255,266,237,1343,359,12,110,899,49,883,52,86,70,1226,312,190,122,266,243
19,20,1,49.1163932444,-12.4582724445,POINT (49.116393244434 -12.458272444451),7315,41,248,259,229,1323,349,11,108,878,47,864,53,88,71,1250,305,182,123,259,235
20,21,1,49.1997232444,-12.4582724445,POINT (49.199723244434 -12.458272444451),7316,42,241,252,223,1313,338,12,105,853,50,853,65,89,71,1255,298,174,124,252,229
21,22,1,49.2830532444,-12.4582724445,POINT (49.283053244434 -12.458272444451),7317,43,246,258,228,1278,332,12,106,831,51,824,59,88,70,1242,304,180,124,257,233
22,23,1,49.3663832444,-12.4582724445,POINT (49.366383244434 -12.458272444451),7318,44,257,268,239,1235,324,13,106,803,55,801,60,85,69,1209,314,192,122,267,244
23,24,1,49.4497132444,-12.4582724445,POINT (49.449713244434 -12.458272444451),7319,45,267,279,249,1219,312,16,101,772,65,772,70,82,68,1202,323,204,119,279,254
24,25,1,48.8664032444,-12.5416024445,POINT (48.866403244434 -12.541602444451),7303,46,262,272,245,1444,381,14,108,957,54,663,62,84,69,1183,317,196,121,272,245
25,26,1,48.9497332444,-12.5416024445,POINT (48.949733244434 -12.541602444451),7304,47,247,258,228,1416,368,12,107,933,51,933,59,89,71,1271,303,179,124,258,235
26,27,1,49.0330632444,-12.5416024445,POINT (49.033063244434 -12.541602444451),7305,48,236,248,218,1394,354,12,105,903,50,903,55,92,73,1258,294,168,126,248,225
27,28,1,49.1163932444,-12.5416024445,POINT (49.116393244434 -12.541602444451),7306,49,222,235,203,1366,331,13,101,855,55,855,60,94,73,1326,281,153,128,235,210
28,29,1,49.1997232444,-12.5416024445,POINT (49.199723244434 -12.541602444451),7307,50,210,224,190,1349,313,15,97,817,62,817,75,96,74,1404,270,141,129,224,196
29,30,1,49.2830532444,-12.5416024445,POINT (49.283053244434 -12.541602444451),7308,51,235,248,216,1334,331,13,102,843,54,843,64,93,73,1313,293,166,127,248,223
30,31,1,49.3663832444,-12.5416024445,POINT (49.366383244434 -12.541602444451),7309,52,250,261,231,1291,327,14,103,821,58,820,65,89,71,1255,307,183,124,261,237
31,32,1,49.4497132444,-12.5416024445,POINT (49.449713244434 -12.541602444451),7310,53,257,269,239,1261,316,16,99,793,65,793,71,86,69,1210,315,192,123,269,245
32,33,1,49.5330432444,-12.5416024445,POINT (49.533043244434 -12.541602444451),7311,54,265,277,247,1248,301,20,93,760,78,760,84,84,70,1207,321,202,119,277,253
33,34,1,48.9497332444,-12.6249324445,POINT (48.949733244434 -12.624932444451),7295,55,257,267,240,1471,386,13,109,976,51,681,58,88,70,1207,314,189,125,267,240
34,35,1,49.0330632444,-12.6249324445,POINT (49.033063244434 -12.624932444451),7296,56,249,259,231,1443,374,12,107,950,52,670,58,91,72,1226,306,180,126,259,231
35,36,1,49.1163932444,-12.6249324445,POINT (49.116393244434 -12.624932444451),7297,57,233,245,215,1410,350,13,104,900,53,900,63,94,72,1291,292,163,129,245,222
36,37,1,49.1997232444,-12.6249324445,POINT (49.199723244434 -12.624932444451),7298,58,206,220,186,1367,312,15,96,821,63,821,76,98,74,1398,268,136,132,220,193
37,38,1,49.2830532444,-12.6249324445,POINT (49.283053244434 -12.624932444451),7299,59,234,246,215,1367,333,14,102,855,57,855,68,95,73,1316,292,163,129,246,221
38,39,1,49.3663832444,-12.6249324445,POINT (49.366383244434 -12.624932444451),7300,60,251,262,232,1333,332,15,101,842,61,842,66,91,71,1245,309,182,127,262,238
39,40,1,49.4497132444,-12.6249324445,POINT (49.449713244434 -12.624932444451),7301,61,253,265,235,1307,318,17,98,810,68,810,74,90,72,1229,311,186,125,265,241
40,41,1,49.5330432444,-12.6249324445,POINT (49.533043244434 -12.624932444451),7302,62,264,276,246,1289,304,21,92,776,82,776,87,86,69,1236,322,199,123,276,252
41,42,1,48.9497332444,-12.7082624445,POINT (48.949733244434 -12.708262444451),7286,64,263,273,245,1531,400,14,108,1013,51,707,58,89,70,1188,319,193,126,272,245
42,43,1,49.0330632444,-12.7082624445,POINT (49.033063244434 -12.708262444451),7287,65,261,271,244,1504,393,14,108,995,52,695,58,90,70,1195,318,191,127,271,244
43,44,1,49.1163932444,-12.7082624445,POINT (49.116393244434 -12.708262444451),7288,66,236,247,217,1449,359,13,104,926,54,926,60,96,72,1283,296,164,132,247,225
44,45,1,49.1997232444,-12.7082624445,POINT (49.199723244434 -12.708262444451),7289,67,222,235,203,1402,331,14,100,865,59,864,69,98,73,1330,283,150,133,234,210
45,46,1,49.2830532444,-12.7082624445,POINT (49.283053244434 -12.708262444451),7290,68,239,250,220,1404,342,14,101,881,58,880,68,96,73,1275,298,167,131,250,227
46,47,1,49.3663832444,-12.7082624445,POINT (49.366383244434 -12.708262444451),7291,69,255,266,237,1377,339,16,101,866,65,866,67,92,71,1229,313,185,128,266,243
47,48,1,49.4497132444,-12.7082624445,POINT (49.449713244434 -12.708262444451),7292,70,263,274,245,1351,324,19,96,830,76,830,78,89,70,1216,321,195,126,274,251
48,49,1,49.5330432444,-12.7082624445,POINT (49.533043244434 -12.708262444451),7293,71,262,273,244,1326,306,22,91,791,84,791,89,88,70,1231,319,195,124,273,250
49,50,1,49.6163732444,-12.7082624445,POINT (49.616373244434 -12.708262444451),7294,72,255,267,236,1306,287,24,86,754,92,754,100,88,70,1261,312,188,124,267,242
50,51,1,48.9497332444,-12.7915924445,POINT (48.949733244434 -12.791592444451),7275,76,267,276,249,1595,414,15,108,1051,52,736,59,90,69,1176,325,195,130,275,249
51,52,1,49.0330632444,-12.7915924445,POINT (49.033063244434 -12.791592444451),7276,77,260,270,242,1562,404,14,108,1029,50,723,56,93,70,1195,320,188,132,269,243
52,53,1,49.1163932444,-12.7915924445,POINT (49.116393244434 -12.791592444451),7277,78,242,253,223,1498,373,13,105,963,53,963,58,97,71,1284,304,169,135,253,224
53,54,1,49.1997232444,-12.7915924445,POINT (49.199723244434 -12.791592444451),7278,79,237,248,218,1461,355,14,103,921,58,921,62,98,72,1299,299,163,136,248,218
54,55,1,49.2830532444,-12.7915924445,POINT (49.283053244434 -12.791592444451),7279,80,246,257,227,1448,354,15,102,914,61,911,66,97,72,1256,306,172,134,257,228
55,56,1,49.3663832444,-12.7915924445,POINT (49.366383244434 -12.791592444451),7280,81,240,252,221,1409,333,16,98,870,66,870,74,97,72,1305,301,167,134,252,229
56,57,1,49.4497132444,-12.7915924445,POINT (49.449713244434 -12.791592444451),7281,82,231,244,211,1372,309,18,94,822,72,822,78,97,72,1382,291,158,133,244,218
57,58,1,49.5330432444,-12.7915924445,POINT (49.533043244434 -12.791592444451),7282,83,257,269,239,1362,307,22,90,806,86,806,90,91,72,1255,315,189,126,269,245
58,59,1,49.6163732444,-12.7915924445,POINT (49.616373244434 -12.791592444451),7283,84,260,271,241,1341,288,27,84,763,100,763,106,88,70,1256,317,192,125,271,248
59,60,1,49.6997032444,-12.7915924445,POINT (49.699703244434 -12.791592444451),7284,85,262,275,243,1329,270,31,77,724,114,724,124,86,71,1282,318,197,121,275,249
60,61,1,48.9497332444,-12.8749224445,POINT (48.949733244434 -12.874922444451),7261,87,268,278,249,1656,428,16,107,1090,52,767,57,92,69,1210,327,195,132,276,250
61,62,1,49.0330632444,-12.8749224445,POINT (49.033063244434 -12.874922444451),7262,88,266,276,249,1627,420,15,108,1073,50,754,55,94,70,1152,326,192,134,274,249
62,63,1,49.1163932444,-12.8749224445,POINT (49.116393244434 -12.874922444451),7263,89,258,268,240,1584,403,14,107,1034,50,734,55,97,70,1202,320,182,138,266,240
63,64,1,49.1997232444,-12.8749224445,POINT (49.199723244434 -12.874922444451),7264,90,248,259,229,1525,376,14,104,974,55,701,60,99,71,1263,311,172,139,258,230
64,65,1,49.2830532444,-12.8749224445,POINT (49.283053244434 -12.874922444451),7265,91,247,257,228,1485,359,15,102,936,60,931,60,98,72,1274,308,172,136,257,228
65,66,1,49.3663832444,-12.8749224445,POINT (49.366383244434 -12.874922444451),7266,92,233,245,213,1423,325,16,97,867,68,855,75,100,72,1342,295,158,137,244,221
66,67,1,49.4497132444,-12.8749224445,POINT (49.449713244434 -12.874922444451),7267,93,242,254,222,1409,319,18,94,850,74,850,76,97,72,1315,302,168,134,254,230
67,68,1,49.5330432444,-12.8749224445,POINT (49.533043244434 -12.874922444451),7268,94,259,270,241,1400,310,23,89,822,90,822,92,92,71,1234,317,189,128,270,247
68,69,1,49.6163732444,-12.8749224445,POINT (49.616373244434 -12.874922444451),7269,95,263,274,244,1377,290,28,82,776,104,776,109,89,71,1257,319,195,124,274,250
69,70,1,49.6997032444,-12.8749224445,POINT (49.699703244434 -12.874922444451),7270,96,259,272,241,1355,269,32,76,732,117,732,126,88,71,1295,316,193,123,272,247
70,71,1,49.7830332444,-12.8749224445,POINT (49.783033244434 -12.874922444451),7271,97,259,272,240,1341,251,36,70,692,130,692,142,86,71,1311,315,194,121,272,245
71,72,1,48.9497332444,-12.9582524445,POINT (48.949733244434 -12.958252444451),7249,99,268,277,249,1716,442,16,108,1131,49,798,54,95,69,1218,329,192,137,276,250
72,73,1,49.0330632444,-12.9582524445,POINT (49.033063244434 -12.958252444451),7250,100,267,277,249,1690,435,15,109,1116,48,785,53,97,69,1184,329,190,139,274,250
73,74,1,49.1163932444,-12.9582524445,POINT (49.116393244434 -12.958252444451),7251,101,261,271,243,1647,419,14,107,1080,48,765,53,99,69,1215,326,183,143,269,244
74,75,1,49.1997232444,-12.9582524445,POINT (49.199723244434 -12.958252444451),7252,102,254,265,236,1583,392,14,105,1017,52,731,57,100,69,1217,319,176,143,263,237
75,76,1,49.2830532444,-12.9582524445,POINT (49.283053244434 -12.958252444451),7253,103,247,258,228,1522,363,15,102,956,58,696,64,101,71,1283,311,169,142,257,228
76,77,1,49.3663832444,-12.9582524445,POINT (49.366383244434 -12.958252444451),7254,104,262,272,244,1516,360,18,99,941,68,681,75,97,70,1202,323,186,137,271,244
77,78,1,49.4497132444,-12.9582524445,POINT (49.449713244434 -12.958252444451),7255,105,261,271,242,1473,336,21,94,888,80,649,87,95,71,1227,320,187,133,271,242
78,79,1,49.5330432444,-12.9582524445,POINT (49.533043244434 -12.958252444451),7256,106,261,272,242,1435,313,24,88,837,93,837,93,93,71,1251,319,189,130,272,242
79,80,1,49.6163732444,-12.9582524445,POINT (49.616373244434 -12.958252444451),7257,107,239,252,219,1376,283,24,85,781,94,781,106,96,73,1366,298,167,131,252,226
80,81,1,49.6997032444,-12.9582524445,POINT (49.699703244434 -12.958252444451),7258,108,233,246,212,1351,267,25,80,745,100,716,108,95,73,1426,292,162,130,246,218
81,82,1,49.7830332444,-12.9582524445,POINT (49.783033244434 -12.958252444451),7259,109,260,273,241,1361,250,36,69,700,132,700,142,86,71,1337,315,194,121,273,247
82,83,1,48.9497332444,-13.0415824445,POINT (48.949733244434 -13.041582444451),7236,110,268,278,249,1774,456,15,109,1171,47,828,52,97,69,1201,331,191,140,276,251
83,84,1,49.0330632444,-13.0415824445,POINT (49.033063244434 -13.041582444451),7237,111,268,278,250,1753,452,15,109,1161,46,399,51,99,68,1162,333,189,144,275,251
84,85,1,49.1163932444,-13.0415824445,POINT (49.116393244434 -13.041582444451),7238,112,267,277,249,1718,439,14,108,1133,45,392,51,101,69,1183,333,188,145,275,250
85,86,1,49.1997232444,-13.0415824445,POINT (49.199723244434 -13.041582444451),7239,113,255,266,236,1630,401,14,105,1046,49,755,55,103,70,1241,322,176,146,264,237
86,87,1,49.2830532444,-13.0415824445,POINT (49.283053244434 -13.041582444451),7240,114,254,265,236,1585,380,15,102,1000,56,724,63,102,70,1230,320,176,144,264,236
87,88,1,49.3663832444,-13.0415824445,POINT (49.366383244434 -13.041582444451),7241,115,249,260,230,1519,350,17,98,935,65,686,65,101,71,1285,313,171,142,259,230
88,89,1,49.4497132444,-13.0415824445,POINT (49.449713244434 -13.041582444451),7242,116,260,271,242,1507,339,21,94,905,79,661,87,97,71,1250,321,185,136,270,242
89,90,1,49.5330432444,-13.0415824445,POINT (49.533043244434 -13.041582444451),7243,117,260,271,242,1462,314,24,88,849,93,625,93,95,71,1239,319,187,132,271,242
90,91,1,49.6163732444,-13.0415824445,POINT (49.616373244434 -13.041582444451),7244,118,258,270,239,1424,289,27,82,796,106,796,107,92,71,1273,316,187,129,270,246
91,92,1,49.6997032444,-13.0415824445,POINT (49.699703244434 -13.041582444451),7245,119,258,271,239,1397,268,31,76,749,119,749,124,90,71,1324,315,189,126,271,246
92,93,1,49.7830332444,-13.0415824445,POINT (49.783033244434 -13.041582444451),7246,120,249,262,229,1364,248,33,71,708,125,708,134,90,72,1362,306,182,124,262,235
93,94,1,49.8663632444,-13.0415824445,POINT (49.866363244434 -13.041582444451),7247,121,255,269,235,1353,234,37,65,669,140,669,152,86,71,1390,310,190,120,269,240
94,95,1,48.8664032444,-13.1249124445,POINT (48.866403244434 -13.124912444451),7223,122,268,278,249,1840,466,16,107,1198,52,860,56,96,68,1207,331,191,140,276,251
95,96,1,48.9497332444,-13.1249124445,POINT (48.949733244434 -13.124912444451),7224,123,268,278,249,1824,468,14,108,1204,46,423,50,99,68,1202,333,189,144,275,251
96,97,1,49.0330632444,-13.1249124445,POINT (49.033063244434 -13.124912444451),7225,124,268,278,250,1807,467,13,110,1203,42,415,47,102,68,1200,335,187,148,275,251
97,98,1,49.1163932444,-13.1249124445,POINT (49.116393244434 -13.124912444451),7226,125,268,278,250,1780,455,14,109,1179,43,409,48,104,68,1159,336,185,151,274,251
98,99,1,49.1997232444,-13.1249124445,POINT (49.199723244434 -13.124912444451),7227,126,251,262,232,1636,394,14,104,1042,49,759,55,105,70,1258,319,170,149,261,233
99,100,1,49.2830532444,-13.1249124445,POINT (49.283053244434 -13.124912444451),7228,127,263,274,244,1655,399,16,103,1049,55,754,62,103,69,1235,330,181,149,270,245
100,101,1,49.3663832444,-13.1249124445,POINT (49.366383244434 -13.124912444451),7229,128,260,271,242,1586,367,18,98,977,66,710,74,101,70,1215,325,181,144,269,242
101,102,1,49.4497132444,-13.1249124445,POINT (49.449713244434 -13.124912444451),7230,129,255,266,236,1521,335,20,93,909,77,667,77,100,71,1252,318,178,140,266,236
102,103,1,49.5330432444,-13.1249124445,POINT (49.533043244434 -13.124912444451),7231,130,257,268,238,1480,312,24,87,856,92,631,92,97,71,1278,317,182,135,268,238
103,104,1,49.6163732444,-13.1249124445,POINT (49.616373244434 -13.124912444451),7232,131,257,269,238,1444,289,27,81,803,107,803,107,93,72,1308,315,186,129,269,238
104,105,1,49.6997032444,-13.1249124445,POINT (49.699703244434 -13.124912444451),7233,132,248,261,229,1401,267,29,76,752,115,752,119,93,72,1358,306,178,128,261,235
105,106,1,49.7830332444,-13.1249124445,POINT (49.783033244434 -13.124912444451),7234,133,258,271,238,1390,257,35,70,709,133,709,141,88,71,1354,314,191,123,271,244
106,107,1,49.8663632444,-13.1249124445,POINT (49.866363244434 -13.124912444451),7235,134,256,271,237,1371,244,38,64,669,144,669,156,85,70,1377,312,192,120,271,243
107,108,1,48.2830932444,-13.2082424445,POINT (48.283093244434 -13.208242444451),7209,135,265,276,246,2006,443,30,89,1176,102,1149,102,73,66,1256,315,205,110,276,246
108,109,1,48.8664032444,-13.2082424445,POINT (48.866403244434 -13.208242444451),7210,136,267,277,249,1878,470,16,106,1212,53,449,57,98,69,1216,331,189,142,275,251
109,110,1,48.9497332444,-13.2082424445,POINT (48.949733244434 -13.208242444451),7211,137,268,278,249,1859,473,14,108,1219,46,438,51,101,68,1218,334,187,147,275,251
110,111,1,49.0330632444,-13.2082424445,POINT (49.033063244434 -13.208242444451),7212,138,268,278,249,1847,474,13,110,1225,41,431,46,104,68,1206,336,185,151,274,251
111,112,1,49.1163932444,-13.2082424445,POINT (49.116393244434 -13.208242444451),7213,139,267,278,249,1823,462,13,109,1205,40,426,46,107,68,1173,338,182,156,273,251
112,113,1,49.1997232444,-13.2082424445,POINT (49.199723244434 -13.208242444451),7214,140,265,275,247,1760,435,14,106,1143,45,415,51,107,69,1178,335,181,154,271,247
113,114,1,49.2830532444,-13.2082424445,POINT (49.283053244434 -13.208242444451),7215,141,262,272,243,1676,398,16,102,1055,55,763,62,105,70,1222,330,180,150,269,243
114,115,1,49.3663832444,-13.2082424445,POINT (49.366383244434 -13.208242444451),7216,142,259,269,240,1606,366,18,98,984,66,717,74,103,71,1253,324,179,145,268,240
115,116,1,49.4497132444,-13.2082424445,POINT (49.449713244434 -13.208242444451),7217,143,259,270,239,1554,339,21,92,923,80,676,89,100,70,1298,322,181,141,269,239
116,117,1,49.5330432444,-13.2082424445,POINT (49.533043244434 -13.208242444451),7218,144,217,232,195,1413,282,21,85,797,89,776,89,105,73,1519,283,140,143,232,195
117,118,1,49.6163732444,-13.2082424445,POINT (49.616373244434 -13.208242444451),7219,145,252,265,232,1454,291,27,81,804,108,804,108,96,72,1358,312,179,133,265,232
118,119,1,49.6997032444,-13.2082424445,POINT (49.699703244434 -13.208242444451),7220,146,249,262,229,1421,273,30,75,755,121,755,123,93,72,1377,307,178,129,262,236
119,120,1,49.7830332444,-13.2082424445,POINT (49.783033244434 -13.208242444451),7221,147,255,270,235,1403,263,34,69,710,135,710,142,88,70,1419,312,188,124,270,242
120,121,1,49.8663632444,-13.2082424445,POINT (49.866363244434 -13.208242444451),7222,148,255,269,235,1382,251,38,63,668,147,668,158,85,70,1418,310,190,120,269,241
121,122,1,48.1997632444,-13.2915724445,POINT (48.199763244434 -13.291572444451),7193,149,266,277,247,2050,450,30,88,1192,105,1151,105,73,67,1237,314,206,108,276,247
122,123,1,48.2830932444,-13.2915724445,POINT (48.283093244434 -13.291572444451),7194,150,262,274,243,2061,449,30,88,1201,104,1164,104,74,67,1299,312,202,110,273,243
123,124,1,48.8664032444,-13.2915724445,POINT (48.866403244434 -13.291572444451),7195,151,267,277,248,1898,469,16,104,1215,55,463,59,99,68,1251,331,187,144,275,249
124,125,1,48.9497332444,-13.2915724445,POINT (48.949733244434 -13.291572444451),7196,152,267,278,248,1873,467,15,106,1210,49,452,54,102,68,1259,334,185,149,274,249
125,126,1,49.0330632444,-13.2915724445,POINT (49.033063244434 -13.291572444451),7197,153,265,276,246,1841,459,14,107,1196,45,443,50,105,68,1261,334,181,153,273,247
126,127,1,49.1163932444,-13.2915724445,POINT (49.116393244434 -13.291572444451),7198,154,265,275,246,1812,447,14,106,1173,45,845,51,107,69,1217,334,180,154,272,247
127,128,1,49.1997232444,-13.2915724445,POINT (49.199723244434 -13.291572444451),7199,155,262,273,244,1750,421,15,104,1113,50,808,57,107,69,1223,332,178,154,270,244
128,129,1,49.2830532444,-13.2915724445,POINT (49.283053244434 -13.291572444451),7200,156,253,264,234,1637,374,16,99,1015,57,748,65,106,69,1307,322,170,152,263,234
129,130,1,49.3663832444,-13.2915724445,POINT (49.366383244434 -13.291572444451),7201,157,230,244,209,1487,313,18,92,881,70,857,79,107,71,1452,299,149,150,244,210
130,131,1,49.4497132444,-13.2915724445,POINT (49.449713244434 -13.291572444451),7202,158,254,266,235,1553,334,21,91,914,80,675,80,102,71,1311,319,176,143,265,235
131,132,1,49.5330432444,-13.2915724445,POINT (49.533043244434 -13.291572444451),7203,159,237,251,217,1461,293,22,85,830,91,830,102,102,71,1426,302,160,142,251,217
132,133,1,49.6163732444,-13.2915724445,POINT (49.616373244434 -13.291572444451),7204,160,220,236,198,1411,270,24,81,774,101,774,113,104,72,1566,286,143,143,236,198
133,134,1,49.6997032444,-13.2915724445,POINT (49.699703244434 -13.291572444451),7205,161,254,268,234,1444,280,31,73,757,127,757,128,92,71,1380,312,184,128,268,241
134,135,1,49.7830332444,-13.2915724445,POINT (49.783033244434 -13.291572444451),7206,162,256,270,235,1421,268,35,67,709,141,709,147,88,70,1431,312,188,124,270,242
135,136,1,49.8663632444,-13.2915724445,POINT (49.866363244434 -13.291572444451),7207,163,255,270,234,1395,256,38,62,665,152,665,162,85,71,1439,309,190,119,270,241
136,137,1,49.9496932444,-13.2915724445,POINT (49.949693244434 -13.291572444451),7208,164,251,266,230,1377,243,41,58,631,162,631,176,84,70,1464,306,187,119,266,235
137,138,1,48.1997632444,-13.3749024445,POINT (48.199763244434 -13.374902444451),7177,165,265,277,245,2091,462,29,88,1221,103,1166,103,74,67,1291,314,204,110,276,245
138,139,1,48.2830932444,-13.3749024445,POINT (48.283093244434 -13.374902444451),7178,166,260,272,241,2082,461,28,89,1224,99,1175,99,77,68,1271,311,198,113,271,241
139,140,1,48.8664032444,-13.3749024445,POINT (48.866403244434 -13.374902444451),7179,167,265,275,246,1903,463,17,103,1208,58,854,62,101,69,1233,330,184,146,273,248
140,141,1,48.9497332444,-13.3749024445,POINT (48.949733244434 -13.374902444451),7180,168,265,275,245,1870,456,16,104,1193,53,463,57,103,68,1260,332,182,150,273,247
141,142,1,49.0330632444,-13.3749024445,POINT (49.033063244434 -13.374902444451),7181,169,260,271,241,1813,438,15,104,1158,48,851,54,106,69,1266,329,176,153,269,242
142,143,1,49.1163932444,-13.3749024445,POINT (49.116393244434 -13.374902444451),7182,170,261,271,242,1777,424,16,103,1128,50,827,56,107,69,1257,331,176,155,269,243
143,144,1,49.1997232444,-13.3749024445,POINT (49.199723244434 -13.374902444451),7183,171,257,267,237,1706,396,16,101,1068,54,788,61,107,69,1280,326,173,153,266,238
144,145,1,49.2830532444,-13.3749024445,POINT (49.283053244434 -13.374902444451),7184,172,227,240,205,1501,316,16,93,894,63,869,73,109,71,1501,297,144,153,240,205
145,146,1,49.3663832444,-13.3749024445,POINT (49.366383244434 -13.374902444451),7185,173,213,229,190,1450,294,19,89,834,75,816,75,111,72,1630,284,131,153,228,190
146,147,1,49.4497132444,-13.3749024445,POINT (49.449713244434 -13.374902444451),7186,174,213,229,191,1439,286,20,87,814,82,795,94,109,72,1597,283,133,150,228,191
147,148,1,49.5330432444,-13.3749024445,POINT (49.533043244434 -13.374902444451),7187,175,238,251,217,1472,293,23,84,829,94,829,106,103,72,1430,302,160,142,251,217
148,149,1,49.6163732444,-13.3749024445,POINT (49.616373244434 -13.374902444451),7188,176,231,246,209,1437,273,25,79,783,106,755,106,102,72,1537,294,154,140,246,209
149,150,1,49.6997032444,-13.3749024445,POINT (49.699703244434 -13.374902444451),7189,177,246,259,225,1448,275,31,73,756,129,732,129,95,72,1435,305,174,131,259,225
150,151,1,49.7830332444,-13.3749024445,POINT (49.783033244434 -13.374902444451),7190,178,253,267,232,1435,268,36,66,711,146,711,151,89,71,1437,309,185,124,267,239
151,152,1,49.8663632444,-13.3749024445,POINT (49.866363244434 -13.374902444451),7191,179,255,269,234,1419,259,40,61,668,160,668,170,85,70,1442,310,190,120,269,240
152,153,1,49.9496932444,-13.3749024445,POINT (49.949693244434 -13.374902444451),7192,180,253,269,232,1396,248,42,56,628,169,628,184,82,69,1485,309,191,118,269,238
153,154,1,48.3664232444,-13.4582324445,POINT (48.366423244434 -13.458232444451),7158,181,261,272,241,2115,480,27,90,1256,97,1207,97,83,67,1311,315,192,123,272,241
154,155,1,48.5330832444,-13.4582324445,POINT (48.533083244434 -13.458232444451),7159,182,262,273,242,2062,481,24,95,1251,87,870,87,90,67,1311,320,187,133,272,242
155,156,1,48.6164132444,-13.4582324445,POINT (48.616413244434 -13.458232444451),7160,183,263,273,243,2023,477,22,96,1242,80,867,80,94,68,1290,322,185,137,272,243
156,157,1,48.6997432444,-13.4582324445,POINT (48.699743244434 -13.458232444451),7161,184,263,274,244,1985,471,21,98,1229,74,928,75,96,68,1297,325,184,141,273,245
157,158,1,48.7830732444,-13.4582324445,POINT (48.783073244434 -13.458232444451),7162,185,264,274,244,1943,464,19,100,1213,67,910,69,99,68,1270,327,183,144,273,246
158,159,1,48.8664032444,-13.4582324445,POINT (48.866403244434 -13.458232444451),7163,186,263,274,243,1902,455,18,101,1195,61,891,65,101,68,1309,329,181,148,273,245
159,160,1,48.9497332444,-13.4582324445,POINT (48.949733244434 -13.458232444451),7164,187,257,268,237,1824,432,17,101,1152,53,861,58,105,68,1313,326,173,153,267,239
